Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"MixedRealityPortalAppList.targetsize-48_altform-lightunplated.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.MixedReality.Portal_2000.19081.1301.0_x64__8wekyb3d8bbwe/Assets/MixedRealityPortalAppList.targetsize-48_altform-lightunplated.png",,,application/octet-stream,png
"PhotosAppList.contrast-black_targetsize-32.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe/Assets/PhotosAppList.contrast-black_targetsize-32.png",,,application/octet-stream,png
"Microsoft.MixedReality.Portal_2000.19081.1301.0_x64__8wekyb3d8bbwe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.MixedReality.Portal_2000.19081.1301.0_x64__8wekyb3d8bbwe",,,application/octet-stream,
8080_20x20x32.png,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe/images/8080_20x20x32.png",,,application/octet-stream,png
"OneNoteNewNoteSmallTile.scale-100.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe/images/OneNoteNewNoteSmallTile.scale-100.png",,,application/octet-stream,png
"OneNoteNotebookLargeTile.scale-200.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe/images/OneNoteNotebookLargeTile.scale-200.png",,,application/octet-stream,png
"OneNoteNotebookWideTile.scale-125.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe/images/OneNoteNotebookWideTile.scale-125.png",,,application/octet-stream,png
"OneNotePageMedTile.scale-400.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe/images/OneNotePageMedTile.scale-400.png",,,application/octet-stream,png
"OneNoteSectionGroupLargeTile.scale-100.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe/images/OneNoteSectionGroupLargeTile.scale-100.png",,,application/octet-stream,png
"OneNoteSectionGroupSmallTile.scale-150.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe/images/OneNoteSectionGroupSmallTile.scale-150.png",,,application/octet-stream,png
"OneNoteSectionMedTile.scale-100.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Office.OneNote_16001.12026.20112.0_x64__8wekyb3d8bbwe/images/OneNoteSectionMedTile.scale-100.png",,,application/octet-stream,png
"Microsoft.People_10.1902.633.0_neutral_split.scale-125_8wekyb3d8bbwe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.People_10.1902.633.0_neutral_split.scale-125_8wekyb3d8bbwe",,,application/octet-stream,
"Microsoft.ScreenSketch_10.1907.2471.0_neutral_split.scale-125_8wekyb3d8bbwe","2019-12-07 10:56:48 CET","2026-02-21 15:41:49 CET","2026-02-21 23:32:49 CET","2019-12-07 10:56:48 CET",56,Unallocated,Allocated,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.ScreenSketch_10.1907.2471.0_neutral_split.scale-125_8wekyb3d8bbwe",,,,
